"Age","Status","Studies","YearsOfExperience","Indentation_Length","Nesting_Level","Distance_from_Center","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","M"
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,2,3,1,10,1,"false",569,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,8,3,1,5,1,"false",561,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,3,2,1,10,1,"false",888,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,9,4,1,9,1,"false",612,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,8,3,1,4,1,"false",627,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,4,1,1,7,1,"false",988,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,5,0,1,10,1,"false",506,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,1,4,1,4,1,"false",501,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,5,0,1,9,1,"false",488,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,7,2,1,2,1,"false",503,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,7,2,1,5,1,"false",488,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,8,3,1,3,1,"false",482,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,7,2,1,10,1,"false",484,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,9,4,1,7,1,"false",658,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,8,3,1,4,1,"false",863,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,7,2,1,8,1,"false",539,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,7,2,1,4,1,"false",689,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,7,2,1,7,1,"false",1119,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,9,4,1,4,1,"false",629,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,2,3,1,7,1,"false",638,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,8,3,1,2,1,"false",758,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,7,2,1,1,1,"true",650,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,9,4,1,2,1,"false",729,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,4,1,1,8,1,"false",949,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,6,1,1,9,1,"false",665,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,5,0,1,10,1,"false",631,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,1,4,1,2,1,"false",690,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,6,1,1,6,1,"false",1784,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,4,1,1,7,1,"false",604,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,6,1,1,9,1,"false",924,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,8,3,1,9,1,"false",658,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,3,2,1,5,1,"false",811,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,9,4,1,4,1,"false",570,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,7,2,1,6,1,"false",998,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",6,8,3,1,7,1,"false",585,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,1,4,1,9,1,"false",665,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",4,1,4,1,4,1,"false",554,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,1,4,1,6,1,"false",519,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",8,5,0,1,3,1,"false",509,
"younger than 18","Undergraduate student (BSc not yet finished)","I do not study","none",2,2,3,1,6,1,"false",715,
