"Age","Status","Studies","YearsOfExperience","Indentation_Length","Nesting_Level","Chain_Length","Distance_from_Center","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","N"
"undefined","undefined","undefined","undefined",5,4,4,1,1,5,1,"false",981,
"undefined","undefined","undefined","undefined",2,7,4,2,1,10,1,"false",894,
"undefined","undefined","undefined","undefined",8,4,4,1,1,7,1,"false",848,
"undefined","undefined","undefined","undefined",2,7,4,2,1,5,1,"false",858,
"undefined","undefined","undefined","undefined",5,3,4,2,1,10,1,"false",1038,
"undefined","undefined","undefined","undefined",8,7,4,2,1,7,1,"false",762,
"undefined","undefined","undefined","undefined",6,5,4,0,1,6,1,"false",865,
"undefined","undefined","undefined","undefined",6,8,4,3,1,5,1,"false",709,
"undefined","undefined","undefined","undefined",8,9,4,4,1,1,1,"true",740,
"undefined","undefined","undefined","undefined",5,2,4,3,1,10,1,"false",777,
"undefined","undefined","undefined","undefined",5,5,4,0,1,9,1,"false",712,
"undefined","undefined","undefined","undefined",5,6,4,1,1,1,1,"true",757,
"undefined","undefined","undefined","undefined",8,9,4,4,1,4,1,"false",560,
"undefined","undefined","undefined","undefined",4,9,4,4,1,3,1,"false",575,
"undefined","undefined","undefined","undefined",8,6,4,1,1,10,1,"false",641,
"undefined","undefined","undefined","undefined",2,6,4,1,1,7,1,"false",937,
"undefined","undefined","undefined","undefined",8,5,4,0,1,6,1,"false",833,
"undefined","undefined","undefined","undefined",2,2,4,3,1,4,1,"false",1048,
"undefined","undefined","undefined","undefined",6,2,4,3,1,7,1,"false",939,
"undefined","undefined","undefined","undefined",2,2,4,3,1,5,1,"false",840,
"undefined","undefined","undefined","undefined",4,4,4,1,1,4,1,"false",895,
"undefined","undefined","undefined","undefined",2,9,4,4,1,7,1,"false",632,
"undefined","undefined","undefined","undefined",5,9,4,4,1,7,1,"false",514,
"undefined","undefined","undefined","undefined",8,1,4,4,1,8,1,"false",881,
"undefined","undefined","undefined","undefined",2,6,4,1,1,4,1,"false",1121,
