"Age","Status","Studies","YearsOfExperience","Overlap","Indentation_Length","Nesting_Level","Distance_from_Center","Overlap_Above_Percent","Overlap_Below_Percent","Correct","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","Subject","Name","Q1","Q3","IQR","Lower_Bound","Upper_Bound","Outlier_Flag"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",5,1,0,100,1,1,3,3,"True",1147,1,,982.25,1229.5,247.25,240.5,1971.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",3,1,65,95,1,1,1,1,"True",1156,1,,872.25,1187.5,315.25,-73.5,2133.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",5,1,0,100,1,1,3,3,"True",982,1,,982.25,1229.5,247.25,240.5,1971.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",4,0,0,100,1,1,2,2,"True",1026,1,,983.25,1321.25,338.0,-30.75,2335.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",6,2,65,95,1,1,3,3,"True",935,1,,940.25,1125.5,185.25,384.5,1681.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",3,1,0,100,1,1,1,1,"True",1149,1,,932.5,1192.5,260.0,152.5,1972.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",2,2,65,95,1,1,3,3,"True",1234,1,,1222.75,1439.5,216.75,572.5,2089.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",2,2,0,100,1,1,6,6,"True",1598,1,,1246.25,1429.75,183.5,695.75,1980.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",4,0,65,95,1,1,4,4,"True",1462,1,,1333.0,1677.5,344.5,299.5,2711.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",6,2,65,95,1,1,1,1,"True",932,1,,899.75,1190.75,291.0,26.75,2063.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",4,0,65,95,1,1,2,2,"True",1462,1,,856.5,1324.75,468.25,-548.25,2729.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","6",5,1,0,100,1,1,1,1,"True",1101,1,,1095.75,1666.25,570.5,-615.75,3377.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",4,0,0,100,1,1,5,5,"True",1153,1,,983.25,1321.25,338.0,-30.75,2335.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",6,2,0,100,1,1,5,5,"True",1308,1,,963.5,1095.0,131.5,569.0,1489.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","14",5,1,0,100,1,1,1,1,"True",1097,1,,1064.75,1277.5,212.75,426.5,1915.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",5,1,0,100,1,1,7,7,"True",1578,1,,946.75,1372.0,425.25,-329.0,2647.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","Dynamic",4,0,0,100,1,1,5,5,"True",1603,1,,992.5,1128.5,136.0,584.5,1536.5,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",5,1,65,95,1,1,6,6,"True",1303,1,,881.25,1417.0,535.75,-726.0,3024.25,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",4,0,65,95,1,1,5,5,"True",1376,1,,1185.75,1540.0,354.25,123.0,2602.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",3,1,65,95,1,1,6,6,"True",1729,1,,1437.75,1678.0,240.25,717.0,2398.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",6,2,0,100,1,1,1,1,"True",873,1,,878.75,1230.75,352.0,-177.25,2286.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",2,2,65,95,1,1,6,6,"True",1365,1,,1165.5,1363.75,198.25,570.75,1958.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","Dynamic",3,1,65,95,1,1,7,7,"True",1355,1,,1007.75,1124.75,117.0,656.75,1475.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","14",4,0,65,95,0,1,2,1,"False",793,1,,856.5,1324.75,468.25,-548.25,2729.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",6,2,65,95,1,1,6,6,"True",1384,1,,899.75,1190.75,291.0,26.75,2063.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","No_Overlap","10",3,1,0,100,1,1,2,2,"True",971,1,,1004.5,1373.5,369.0,-102.5,2480.5,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","10",6,2,65,95,1,1,4,4,"True",1218,1,,899.75,1190.75,291.0,26.75,2063.75,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Overlap","6",2,2,65,95,1,1,5,5,"True",1528,1,,1142.75,1559.5,416.75,-107.5,2809.75,"OK"
