"Age","Status","Studies","YearsOfExperience","Condition_Word_Length","Nesting_Level","Distance_from_Center","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","M"
"undefined","undefined","undefined","undefined",8,1,4,1,9,1,"false",528,
"undefined","undefined","undefined","undefined",2,8,3,1,10,1,"false",308,
"undefined","undefined","undefined","undefined",2,1,4,1,8,1,"false",448,
"undefined","undefined","undefined","undefined",2,5,0,1,3,1,"false",455,
"undefined","undefined","undefined","undefined",4,6,1,1,9,1,"false",425,
"undefined","undefined","undefined","undefined",4,9,4,1,7,1,"false",426,
"undefined","undefined","undefined","undefined",2,7,2,1,6,1,"false",393,
"undefined","undefined","undefined","undefined",6,4,1,1,1,1,"true",420,
"undefined","undefined","undefined","undefined",8,2,3,1,5,1,"false",411,
"undefined","undefined","undefined","undefined",4,7,2,1,9,1,"false",396,
"undefined","undefined","undefined","undefined",8,4,1,1,5,1,"false",352,
"undefined","undefined","undefined","undefined",8,4,1,1,2,1,"false",417,
"undefined","undefined","undefined","undefined",6,9,4,1,9,1,"false",400,
"undefined","undefined","undefined","undefined",6,3,2,1,10,1,"false",444,
"undefined","undefined","undefined","undefined",4,5,0,1,5,1,"false",374,
"undefined","undefined","undefined","undefined",8,1,4,1,4,1,"false",405,
"undefined","undefined","undefined","undefined",8,7,2,1,9,1,"false",333,
"undefined","undefined","undefined","undefined",6,9,4,1,10,1,"false",397,
"undefined","undefined","undefined","undefined",8,6,1,1,8,1,"false",369,
"undefined","undefined","undefined","undefined",6,7,2,1,10,1,"false",395,
"undefined","undefined","undefined","undefined",4,4,1,1,7,1,"false",387,
"undefined","undefined","undefined","undefined",6,9,4,1,9,1,"false",408,
"undefined","undefined","undefined","undefined",8,8,3,1,6,1,"false",420,
"undefined","undefined","undefined","undefined",4,6,1,1,2,1,"false",416,
"undefined","undefined","undefined","undefined",4,6,1,1,8,1,"false",445,
"undefined","undefined","undefined","undefined",4,7,2,1,6,1,"false",409,
"undefined","undefined","undefined","undefined",4,8,3,1,6,1,"false",370,
"undefined","undefined","undefined","undefined",8,7,2,1,1,1,"true",368,
"undefined","undefined","undefined","undefined",4,2,3,1,5,1,"false",407,
"undefined","undefined","undefined","undefined",4,1,4,1,9,1,"false",396,
"undefined","undefined","undefined","undefined",2,8,3,1,8,1,"false",457,
"undefined","undefined","undefined","undefined",4,5,0,1,9,1,"false",428,
"undefined","undefined","undefined","undefined",2,6,1,1,3,1,"false",390,
"undefined","undefined","undefined","undefined",2,4,1,1,3,1,"false",380,
"undefined","undefined","undefined","undefined",6,4,1,1,2,1,"false",350,
"undefined","undefined","undefined","undefined",8,1,4,1,8,1,"false",352,
"undefined","undefined","undefined","undefined",4,9,4,1,6,1,"false",369,
"undefined","undefined","undefined","undefined",2,3,2,1,4,1,"false",406,
"undefined","undefined","undefined","undefined",2,5,0,1,4,1,"false",409,
"undefined","undefined","undefined","undefined",4,3,2,1,5,1,"false",429,
"undefined","undefined","undefined","undefined",8,7,2,1,9,1,"false",430,
"undefined","undefined","undefined","undefined",8,6,1,1,2,1,"false",419,
"undefined","undefined","undefined","undefined",6,6,1,1,7,1,"false",430,
"undefined","undefined","undefined","undefined",2,8,3,1,9,1,"false",385,
"undefined","undefined","undefined","undefined",2,1,4,1,2,1,"false",414,
"undefined","undefined","undefined","undefined",8,3,2,1,8,1,"false",391,
"undefined","undefined","undefined","undefined",8,2,3,1,1,1,"true",443,
"undefined","undefined","undefined","undefined",4,6,1,1,10,1,"false",420,
"undefined","undefined","undefined","undefined",8,7,2,1,3,1,"false",351,
"undefined","undefined","undefined","undefined",2,4,1,1,4,1,"false",392,
