"Age","Status","Studies","YearsOfExperience","Indentation_Length","Nesting_Level","Distance_from_Center","Correct","number_of_given_answers","expected_answer","given_answer","is_correct","time_in_milliseconds","Subject","Name","Q1","Q3","IQR","Lower_Bound","Upper_Bound","Outlier_Flag"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",4,0,1,1,1,1,"True",3148,1,,2084.0,3125.0,1041.0,-1039.0,6248.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",7,3,1,1,3,3,"True",1263,1,,1250.0,1408.0,158.0,776.0,1882.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",7,3,1,1,2,2,"True",1013,1,,1357.0,1448.0,91.0,1084.0,1721.0,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",4,0,1,1,2,2,"True",2040,1,,2844.0,3626.0,782.0,498.0,5972.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",4,0,1,1,5,5,"True",5066,1,,2605.0,3440.0,835.0,100.0,5945.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",1,3,1,1,3,3,"True",1155,1,,1392.0,1442.0,50.0,1242.0,1592.0,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",5,1,1,1,3,3,"True",1621,1,,1579.0,2184.0,605.0,-236.0,3999.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",5,1,1,1,1,1,"True",1680,1,,1680.0,2256.0,576.0,-48.0,3984.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",1,3,1,1,7,7,"True",1400,1,,1392.0,1442.0,50.0,1242.0,1592.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",2,2,1,1,5,5,"True",1611,1,,1499.0,1868.0,369.0,392.0,2975.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",6,2,1,1,5,5,"True",1730,1,,1438.0,1730.0,292.0,562.0,2606.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",6,2,1,1,6,6,"True",1332,1,,1332.0,1685.0,353.0,273.0,2744.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",5,1,1,1,3,3,"True",1837,1,,1651.0,1935.0,284.0,799.0,2787.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",2,2,1,1,6,6,"True",1817,1,,1548.0,1597.0,49.0,1401.0,1744.0,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",2,2,1,1,7,7,"True",1551,1,,1193.0,1565.0,372.0,77.0,2681.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",6,2,1,1,6,6,"True",1694,1,,1332.0,1685.0,353.0,273.0,2744.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",4,0,0,1,6,4,"False",2084,1,,2084.0,3125.0,1041.0,-1039.0,6248.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",5,1,1,1,2,2,"True",1886,1,,2033.0,2676.0,643.0,104.0,4605.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",4,0,1,1,7,7,"True",4310,1,,2844.0,3626.0,782.0,498.0,5972.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",7,3,1,1,7,7,"True",1345,1,,1339.0,1386.0,47.0,1198.0,1527.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",6,2,1,1,2,2,"True",2056,1,,1273.0,1811.0,538.0,-341.0,3425.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",4,0,1,1,1,1,"True",3173,1,,2467.0,3121.0,654.0,505.0,5083.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",1,3,1,1,4,4,"True",1442,1,,1392.0,1442.0,50.0,1242.0,1592.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",4,0,1,1,1,1,"True",2863,1,,2844.0,3626.0,782.0,498.0,5972.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",4,0,1,1,3,3,"True",2325,1,,1489.0,2325.0,836.0,-1019.0,4833.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",4,0,1,1,2,2,"True",2369,1,,2084.0,3125.0,1041.0,-1039.0,6248.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",6,2,1,1,6,6,"True",1811,1,,1273.0,1811.0,538.0,-341.0,3425.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",1,3,1,1,1,1,"True",833,1,,833.0,1324.0,491.0,-640.0,2797.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","4",6,2,1,1,1,1,"True",1098,1,,1438.0,1730.0,292.0,562.0,2606.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",3,1,1,1,6,6,"True",3902,1,,1453.0,2051.0,598.0,-341.0,3845.0,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",5,1,1,1,3,3,"True",2184,1,,1579.0,2184.0,605.0,-236.0,3999.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","8",1,3,1,1,2,2,"True",1062,1,,1062.0,1304.0,242.0,336.0,2030.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",5,1,1,1,7,7,"True",2985,1,,1710.0,2154.0,444.0,378.0,3486.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","Dynamic",6,2,1,1,5,5,"True",4765,1,,1492.0,1720.0,228.0,808.0,2404.0,"Outlier"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","6",4,0,1,1,1,1,"True",2655,1,,1489.0,2325.0,836.0,-1019.0,4833.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",5,1,1,1,4,4,"True",2154,1,,1710.0,2154.0,444.0,378.0,3486.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","2",4,0,1,1,1,1,"True",2844,1,,2844.0,3626.0,782.0,498.0,5972.0,"OK"
"between 18 and (excluding) 25","Undergraduate student (BSc not yet finished)","Computer science","less than or equal 1 year","10",5,1,1,1,6,6,"True",1989,1,,1710.0,2154.0,444.0,378.0,3486.0,"OK"
